1	0.002	0.04	0.03	0.04	0.03	0.04
2	0.005	0.08	0.03	0.05	0.04	0.07
3	0.13	0.75	0.05	0.07	0.09	0.07
4	0.13	0.89	0.05	0.34	0.10	1.60
5	0.27	3.2	0.07	0.83	0.13	1.81
6	0.39	3.6	0.11	1.14	0.18	2.53
7	0.69	4.6	0.22	1.41	0.38	2.72
8	0.88	5.8	0.26	1.54	0.49	3.01
9	1.02	6.2	0.29	3.04	0.52	3.10
10	1.10	11.9	0.31	3.27	0.78	3.69
11	2.35	13.6	0.33	3.49	1.15	5.45
12	2.37	16.6	0.34	5.64	1.88	6.40
13	4.87	17.8	0.75	7.67	2.40	6.52
14	5.80	24.0	1.13	8.18	2.63	7.47
15	7.60	26.1	1.2	9.24	2.91	16.96
16	13.6	36.1	1.82	16.7	3.22	17.81
17	14.4	79.7	2.52	27.3	3.48	25.37
18	19.8	146	3.2	174	5.48	62.79
19	50.5	2668	4.64	375	6.21	7200
20	408	3600	8.6	515	24.97	39600
						
						
